year,competition_name,event_name,final_group,crew_name,organization,rank,time
2016,第38回全日本軽量級選手権大会,男子シングルスカル,Final B,中田 悠介,立教大学,1,08:03.45
2016,第38回全日本軽量級選手権大会,男子シングルスカル,Final B,CHAN CHI FUNG,Hong Kong China Rowing,2,08:08.05
2016,第38回全日本軽量級選手権大会,男子シングルスカル,Final B,上田 裕樹,トヨタ紡織B,3,08:10.16
2016,第38回全日本軽量級選手権大会,男子シングルスカル,Final B,村井 真也,千葉大学,4,08:15.75
2016,第38回全日本軽量級選手権大会,男子シングルスカル,Final B,赤木 貴昭,NTT東日本A,5,08:17.94
2016,第38回全日本軽量級選手権大会,男子シングルスカル,Final A,塚本 章良,トヨタ紡織A,1,07:34.10
2016,第38回全日本軽量級選手権大会,男子シングルスカル,Final A,武田 大作,ダイキ,2,07:36.26
2016,第38回全日本軽量級選手権大会,男子シングルスカル,Final A,木村 良太郎,トヨタ紡織D,3,07:38.63
2016,第38回全日本軽量級選手権大会,男子シングルスカル,Final A,阿部 大貴,トヨタ紡織C,4,07:38.88
2016,第38回全日本軽量級選手権大会,男子シングルスカル,Final A,斎藤 慶太郎,東北大学A,5,07:53.36
2016,第38回全日本軽量級選手権大会,女子シングルスカル,Final B,末廣 あすみ,デンソーA,1,08:51.99
2016,第38回全日本軽量級選手権大会,女子シングルスカル,Final B,太田 幸,トヨタ自動車B,2,09:04.29
2016,第38回全日本軽量級選手権大会,女子シングルスカル,Final B,庄司 祐美子,デンソーC,3,09:06.14
2016,第38回全日本軽量級選手権大会,女子シングルスカル,Final B,北村 梨花,明治大学A,4,09:11.21
2016,第38回全日本軽量級選手権大会,女子シングルスカル,Final A,栗山 咲樹,富山国際大学A,1,08:35.03
2016,第38回全日本軽量級選手権大会,女子シングルスカル,Final A,高橋 かほ,日本体育大学C,2,08:40.99
2016,第38回全日本軽量級選手権大会,女子シングルスカル,Final A,首藤 多佳子,明治安田生命,3,08:53.46
2016,第38回全日本軽量級選手権大会,女子シングルスカル,Final A,大西 花歩,龍谷大学,4,09:06.76
2016,第38回全日本軽量級選手権大会,男子ダブルスカル,Final B,富山国際大学,富山国際大学,1,07:29.60
2016,第38回全日本軽量級選手権大会,男子ダブルスカル,Final B,東レ滋賀,東レ滋賀,2,07:35.23
2016,第38回全日本軽量級選手権大会,男子ダブルスカル,Final B,龍谷大学A,龍谷大学A,3,07:38.03
2016,第38回全日本軽量級選手権大会,男子ダブルスカル,Final B,東京外国語大学B,東京外国語大学B,4,07:38.60
2016,第38回全日本軽量級選手権大会,男子ダブルスカル,Final A,都立小松川高校,都立小松川高校,1,07:19.80
2016,第38回全日本軽量級選手権大会,男子ダブルスカル,Final A,明治安田生命,明治安田生命,2,07:22.29
2016,第38回全日本軽量級選手権大会,男子ダブルスカル,Final A,今治造船,今治造船,3,07:25.89
2016,第38回全日本軽量級選手権大会,男子ダブルスカル,Final A,Hong Kong China Rowing,Hong Kong China Rowing,4,07:31.32
2016,第38回全日本軽量級選手権大会,女子ダブルスカル,Final B,仙台大学A,仙台大学A,1,07:54.10
2016,第38回全日本軽量級選手権大会,女子ダブルスカル,Final B,立教大学,立教大学,2,07:56.42
2016,第38回全日本軽量級選手権大会,女子ダブルスカル,Final B,富山国際大学A,富山国際大学A,3,07:58.08
2016,第38回全日本軽量級選手権大会,女子ダブルスカル,Final B,明治大学B,明治大学B,4,08:08.71
2016,第38回全日本軽量級選手権大会,女子ダブルスカル,Final A,トヨタ自動車,トヨタ自動車,1,07:52.75
2016,第38回全日本軽量級選手権大会,女子ダブルスカル,Final A,Hong Kong China RowingA,Hong Kong China RowingA,2,07:56.31
2016,第38回全日本軽量級選手権大会,女子ダブルスカル,Final A,筑波大学A,筑波大学A,3,07:57.56
2016,第38回全日本軽量級選手権大会,女子ダブルスカル,Final A,明治大学A,明治大学A,4,08:11.14
2016,第38回全日本軽量級選手権大会,男子舵手なしペア,Final B,日本体育大学D,日本体育大学D,1,07:26.71
2016,第38回全日本軽量級選手権大会,男子舵手なしペア,Final B,Hong Kong China Rowing,Hong Kong China Rowing,2,07:31.01
2016,第38回全日本軽量級選手権大会,男子舵手なしペア,Final B,早稲田大学B,早稲田大学B,3,07:35.14
2016,第38回全日本軽量級選手権大会,男子舵手なしペア,Final B,日本体育大学B,日本体育大学B,4,07:41.69
2016,第38回全日本軽量級選手権大会,男子舵手なしペア,Final A,明治安田生命,明治安田生命,1,07:22.34
2016,第38回全日本軽量級選手権大会,男子舵手なしペア,Final A,慶應義塾大学,慶應義塾大学,2,07:27.76
2016,第38回全日本軽量級選手権大会,男子舵手なしペア,Final A,トヨタ紡織,トヨタ紡織,3,07:33.80
2016,第38回全日本軽量級選手権大会,男子舵手なしペア,Final A,中部電力,中部電力,4,07:38.96
2016,第38回全日本軽量級選手権大会,男子舵手なしフォア,Final B,龍谷大学,龍谷大学,1,07:08.35
2016,第38回全日本軽量級選手権大会,男子舵手なしフォア,Final B,一橋大学,一橋大学,2,07:17.74
2016,第38回全日本軽量級選手権大会,男子舵手なしフォア,Final B,成蹊大学,成蹊大学,3,07:20.38
2016,第38回全日本軽量級選手権大会,男子舵手なしフォア,Final B,京都大学,京都大学,4,07:26.01
2016,第38回全日本軽量級選手権大会,男子舵手なしフォア,Final A,東レ滋賀,東レ滋賀,1,06:53.05
2016,第38回全日本軽量級選手権大会,男子舵手なしフォア,Final A,日本大学,日本大学,2,06:54.93
2016,第38回全日本軽量級選手権大会,男子舵手なしフォア,Final A,中部電力,中部電力,3,06:54.94
2016,第38回全日本軽量級選手権大会,男子舵手なしフォア,Final A,Hong Kong China RowingA,Hong Kong China RowingA,4,06:54.96
2016,第38回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,仙台大学,仙台大学,1,06:47.03
2016,第38回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,日本体育大学,日本体育大学,2,06:54.27
2016,第38回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,東京経済大学B,東京経済大学B,3,06:57.48
2016,第38回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,東海大学,東海大学,4,07:04.73
2016,第38回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,龍谷大学,龍谷大学,1,06:26.18
2016,第38回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,明治大学,明治大学,2,06:28.56
2016,第38回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,トヨタ自動車,トヨタ自動車,3,06:29.46
2016,第38回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,東京経済大学A,東京経済大学A,4,06:41.68
2016,第38回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final B,立命館大学,立命館大学,1,07:46.51
2016,第38回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final B,法政大学B,法政大学B,2,07:51.87
2016,第38回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final B,東京経済大学,東京経済大学,3,07:56.12
2016,第38回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final B,法政大学A,法政大学A,4,07:59.25
2016,第38回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final A,明治安田生命,明治安田生命,1,07:24.96
2016,第38回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final A,関西電力小浜,関西電力小浜,2,07:27.19
