year,competition_name,event_name,final_group,crew_name,organization,rank,time
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final B,川竹 葉来,明治大学,1,08:11.64
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final B,南條 翔也,瀬田漕艇クラブ,2,08:16.39
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final B,伊藤 旺我,滋賀大学教育学部,3,08:16.99
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final B,大南 孝一郎,愛媛大学,4,08:18.43
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final B,間 祐輔,仙台大学,5,08:33.42
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final B,山口 隆生,東京科学大学医歯学系,6,08:38.69
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final A,西村 光生,アイリスオーヤマ,1,08:33.10
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final A,扇原 優,慶應義塾大学,2,08:48.04
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final A,佐藤 芳樹,TeamSSP,3,08:51.24
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final A,柘植 充,中部電力,4,08:56.48
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final A,橋本 太一,明治安田,5,08:58.90
2025,第103回全日本ローイング選手権大会,男子シングルスカル,Final A,羽賀 直喜,千葉大学,6,09:11.85
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final B,山領 夏実,今治ローイングクラブ,1,09:16.51
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final B,岡田 佳,瀬田漕艇クラブ,2,09:18.82
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final B,馬井 風羽花,中央大学,3,09:26.17
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final B,山吹 真里亜,関西みらい銀行,4,09:46.50
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final B,渡邊 日菜,茨城大学,5,09:59.75
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final B,新郷 華乃,富山国際大学,6,10:15.39
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final A,米川 志保,トヨタ自動車,1,08:38.47
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final A,中山 彩花,チョープロ,2,08:54.57
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final A,角谷 真緒,アイリスオーヤマ,3,08:58.42
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final A,浅井 奏音,新貞山RC,4,09:05.92
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final A,銖藤 蓮,滋賀大学,5,09:16.24
2025,第103回全日本ローイング選手権大会,女子シングルスカル,Final A,田井 夏帆,トヨタRC,6,09:22.58
2025,第103回全日本ローイング選手権大会,男子ダブルスカル,Final A,関西電力,関西電力,1,07:25.04
2025,第103回全日本ローイング選手権大会,男子ダブルスカル,Final A,立命館大学,立命館大学,2,07:36.92
2025,第103回全日本ローイング選手権大会,男子ダブルスカル,Final A,日本体育大学,日本体育大学,3,07:41.40
2025,第103回全日本ローイング選手権大会,男子ダブルスカル,Final A,RTT,RTT,4,07:44.40
2025,第103回全日本ローイング選手権大会,男子ダブルスカル,Final A,中部電力,中部電力,5,07:48.52
2025,第103回全日本ローイング選手権大会,男子ダブルスカル,Final A,日本大学,日本大学,6,07:52.43
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final B,中央大学,中央大学,1,08:51.53
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final B,早稲田大学,早稲田大学,2,08:55.57
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final B,中部電力,中部電力,3,08:59.19
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final B,法政大学,法政大学,4,09:00.44
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final B,慶應義塾大学,慶應義塾大学,5,09:01.94
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final B,東京経済大学,東京経済大学,6,09:12.00
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final A,トヨタ紡織,トヨタ紡織,1,08:19.95
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final A,明治安田,明治安田,2,08:25.83
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final A,戸田中央総合病院RC,戸田中央総合病院RC,3,08:27.46
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final A,関西電力,関西電力,4,08:37.91
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final A,今治造船,今治造船,5,08:42.52
2025,第103回全日本ローイング選手権大会,女子ダブルスカル,Final A,同志社大学,同志社大学,6,08:45.24
2025,第103回全日本ローイング選手権大会,男子ペア,Final B,明治大学,明治大学,1,08:26.20
2025,第103回全日本ローイング選手権大会,男子ペア,Final B,米子漕艇クラブ,米子漕艇クラブ,2,08:31.03
2025,第103回全日本ローイング選手権大会,男子ペア,Final B,京都大学,京都大学,3,08:38.81
2025,第103回全日本ローイング選手権大会,男子ペア,Final A,東レ滋賀,東レ滋賀,1,07:50.82
2025,第103回全日本ローイング選手権大会,男子ペア,Final A,早稲田大学,早稲田大学,2,07:57.91
2025,第103回全日本ローイング選手権大会,男子ペア,Final A,TeamSSP,TeamSSP,3,08:00.41
2025,第103回全日本ローイング選手権大会,男子ペア,Final A,日本大学,日本大学,4,08:00.83
2025,第103回全日本ローイング選手権大会,男子ペア,Final A,金沢大学,金沢大学,5,08:08.01
2025,第103回全日本ローイング選手権大会,男子ペア,Final A,慶應義塾大学,慶應義塾大学,6,08:12.97
2025,第103回全日本ローイング選手権大会,女子ペア,Final A,戸田中央総合病院RC,戸田中央総合病院RC,1,08:41.56
2025,第103回全日本ローイング選手権大会,女子ペア,Final A,中部電力,中部電力,2,08:43.18
2025,第103回全日本ローイング選手権大会,女子ペア,Final A,神戸大学,神戸大学,3,08:46.94
2025,第103回全日本ローイング選手権大会,女子ペア,Final A,NTT東日本,NTT東日本,4,08:48.17
2025,第103回全日本ローイング選手権大会,女子ペア,Final A,大阪大学,大阪大学,5,09:14.05
2025,第103回全日本ローイング選手権大会,女子ペア,Final A,一橋大学,一橋大学,6,09:15.46
2025,第103回全日本ローイング選手権大会,男子フォア,Final B,日本体育大学,日本体育大学,1,07:18.13
2025,第103回全日本ローイング選手権大会,男子フォア,Final B,京都大学,京都大学,2,07:18.75
2025,第103回全日本ローイング選手権大会,男子フォア,Final B,慶應義塾大学,慶應義塾大学,3,07:20.49
2025,第103回全日本ローイング選手権大会,男子フォア,Final B,日本大学,日本大学,4,07:26.14
2025,第103回全日本ローイング選手権大会,男子フォア,Final B,富山国際大学,富山国際大学,5,07:27.99
2025,第103回全日本ローイング選手権大会,男子フォア,Final B,法政大学,法政大学,6,07:28.00
2025,第103回全日本ローイング選手権大会,男子フォア,Final A,NTT東日本,NTT東日本,1,06:52.84
2025,第103回全日本ローイング選手権大会,男子フォア,Final A,戸田中央総合病院RC,戸田中央総合病院RC,2,06:59.65
2025,第103回全日本ローイング選手権大会,男子フォア,Final A,トヨタ紡織,トヨタ紡織,3,07:03.90
2025,第103回全日本ローイング選手権大会,男子フォア,Final A,立教大学,立教大学,4,07:07.67
2025,第103回全日本ローイング選手権大会,男子フォア,Final A,関西電力,関西電力,5,07:10.36
2025,第103回全日本ローイング選手権大会,男子フォア,Final A,早稲田大学,早稲田大学,6,07:11.48
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final B,日本大学,日本大学,1,07:05.81
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final B,明治大学,明治大学,2,07:07.19
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final B,日本体育大学,日本体育大学,3,07:13.36
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final B,東京経済大学,東京経済大学,4,07:23.53
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final B,慶應義塾大学,慶應義塾大学,5,07:24.91
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final B,法政大学,法政大学,6,07:29.60
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final A,NTT東日本,NTT東日本,1,06:56.62
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final A,今治造船,今治造船,2,06:59.55
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final A,警視庁,警視庁,3,07:02.84
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final A,立命館大学,立命館大学,4,07:04.29
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final A,トヨタRC,トヨタRC,5,07:10.63
2025,第103回全日本ローイング選手権大会,男子クォドルプル,Final A,富山国際大学,富山国際大学,6,07:10.76
2025,第103回全日本ローイング選手権大会,女子クォドルプル,Final B,立教大学,立教大学,1,07:48.06
2025,第103回全日本ローイング選手権大会,女子クォドルプル,Final B,東北大学,東北大学,2,07:49.47
2025,第103回全日本ローイング選手権大会,女子クォドルプル,Final B,同志社大学,同志社大学,3,08:00.46
2025,第103回全日本ローイング選手権大会,女子クォドルプル,Final B,法政大学,法政大学,4,08:07.93
2025,第103回全日本ローイング選手権大会,女子クォドルプル,Final B,仙台大学,仙台大学,5,08:10.52
2025,第103回全日本ローイング選手権大会,女子クォドルプル,Final A,関西電力,関西電力,1,07:23.25
2025,第103回全日本ローイング選手権大会,女子クォドルプル,Final A,NTT東日本,NTT東日本,2,07:29.17
2025,第103回全日本ローイング選手権大会,女子クォドルプル,Final A,明治安田,明治安田,3,07:30.94
2025,第103回全日本ローイング選手権大会,女子クォドルプル,Final A,明治大学,明治大学,4,07:43.83
2025,第103回全日本ローイング選手権大会,女子クォドルプル,Final A,早稲田大学,早稲田大学,5,07:51.51
2025,第103回全日本ローイング選手権大会,女子クォドルプル,Final A,中央大学,中央大学,6,07:54.28
2025,第103回全日本ローイング選手権大会,男子舵手つきフォア,Final B,東京経済大学,東京経済大学,1,07:23.10
2025,第103回全日本ローイング選手権大会,男子舵手つきフォア,Final B,京都大学,京都大学,2,07:26.01
2025,第103回全日本ローイング選手権大会,男子舵手つきフォア,Final B,法政大学,法政大学,3,07:26.83
2025,第103回全日本ローイング選手権大会,男子舵手つきフォア,Final B,慶應義塾大学,慶應義塾大学,4,07:27.31
2025,第103回全日本ローイング選手権大会,男子舵手つきフォア,Final B,仙台大学,仙台大学,5,07:35.72
2025,第103回全日本ローイング選手権大会,男子舵手つきフォア,Final A,中部電力,中部電力,1,07:18.12
2025,第103回全日本ローイング選手権大会,男子舵手つきフォア,Final A,明治大学,明治大学,2,07:19.83
2025,第103回全日本ローイング選手権大会,男子舵手つきフォア,Final A,富山国際大学,富山国際大学,3,07:21.66
2025,第103回全日本ローイング選手権大会,男子舵手つきフォア,Final A,日本大学,日本大学,4,07:23.27
2025,第103回全日本ローイング選手権大会,男子舵手つきフォア,Final A,龍谷大学,龍谷大学,5,07:23.99
2025,第103回全日本ローイング選手権大会,男子舵手つきフォア,Final A,立教大学,立教大学,6,07:39.39
