year,competition_name,event_name,final_group,crew_name,organization,rank,time
2020,第47回全日本大学選手権大会,男子舵手付きフォア,Final B,日本大学,日本大学,1,06:40.64
2020,第47回全日本大学選手権大会,男子舵手付きフォア,Final B,金沢大学,金沢大学,2,06:45.16
2020,第47回全日本大学選手権大会,男子舵手付きフォア,Final B,慶應義塾大学,慶應義塾大学,3,06:52.36
2020,第47回全日本大学選手権大会,男子舵手付きフォア,Final B,東京経済大学,東京経済大学,4,06:56.11
2020,第47回全日本大学選手権大会,男子舵手付きフォア,Final A,中央大学,中央大学,1,06:32.36
2020,第47回全日本大学選手権大会,男子舵手付きフォア,Final A,早稲田大学,早稲田大学,2,06:37.84
2020,第47回全日本大学選手権大会,男子舵手付きフォア,Final A,仙台大学,仙台大学,3,06:43.18
2020,第47回全日本大学選手権大会,男子舵手付きフォア,Final A,明治大学,明治大学,4,06:43.70
2020,第47回全日本大学選手権大会,女子舵手付きフォア,Final B,日本体育大学,日本体育大学,1,07:29.31
2020,第47回全日本大学選手権大会,女子舵手付きフォア,Final B,仙台大学,仙台大学,2,07:29.34
2020,第47回全日本大学選手権大会,女子舵手付きフォア,Final B,神戸大学,神戸大学,3,07:34.59
2020,第47回全日本大学選手権大会,女子舵手付きフォア,Final B,一橋大学,一橋大学,4,07:34.93
2020,第47回全日本大学選手権大会,女子舵手付きフォア,Final A,立命館大学,立命館大学,1,07:17.86
2020,第47回全日本大学選手権大会,女子舵手付きフォア,Final A,立教大学,立教大学,2,07:20.51
2020,第47回全日本大学選手権大会,女子舵手付きフォア,Final A,明治大学,明治大学,3,07:23.31
2020,第47回全日本大学選手権大会,女子舵手付きフォア,Final A,中央大学,中央大学,4,07:23.94
2020,第47回全日本大学選手権大会,女子舵手付きフォア,Final A,早稲田大学,早稲田大学,5,07:29.35
2020,第47回全日本大学選手権大会,男子ダブルスカル,Final B,仙台大学,仙台大学,1,06:53.17
2020,第47回全日本大学選手権大会,男子ダブルスカル,Final B,明治大学,明治大学,2,06:58.92
2020,第47回全日本大学選手権大会,男子ダブルスカル,Final B,東京経済大学,東京経済大学,3,07:04.61
2020,第47回全日本大学選手権大会,男子ダブルスカル,Final B,慶應義塾大学,慶應義塾大学,4,07:08.25
2020,第47回全日本大学選手権大会,男子ダブルスカル,Final A,富山国際大学,富山国際大学,1,06:39.15
2020,第47回全日本大学選手権大会,男子ダブルスカル,Final A,日本体育大学,日本体育大学,2,06:42.63
2020,第47回全日本大学選手権大会,男子ダブルスカル,Final A,立教大学,立教大学,3,06:48.75
2020,第47回全日本大学選手権大会,男子ダブルスカル,Final A,日本大学,日本大学,4,06:49.18
2020,第47回全日本大学選手権大会,女子ダブルスカル,Final B,明治大学,明治大学,1,07:37.73
2020,第47回全日本大学選手権大会,女子ダブルスカル,Final B,金沢大学,金沢大学,2,07:39.35
2020,第47回全日本大学選手権大会,女子ダブルスカル,Final B,龍谷大学,龍谷大学,3,07:44.97
2020,第47回全日本大学選手権大会,女子ダブルスカル,Final B,同志社大学,同志社大学,4,08:07.58
2020,第47回全日本大学選手権大会,女子ダブルスカル,Final A,早稲田大学,早稲田大学,1,07:32.64
2020,第47回全日本大学選手権大会,女子ダブルスカル,Final A,立教大学,立教大学,2,07:32.77
2020,第47回全日本大学選手権大会,女子ダブルスカル,Final A,富山国際大学,富山国際大学,3,07:48.23
2020,第47回全日本大学選手権大会,女子ダブルスカル,Final A,鹿屋体育大学,鹿屋体育大学,4,07:50.88
2020,第47回全日本大学選手権大会,男子舵手なしペア,Final B,同志社大学,同志社大学,1,07:10.98
2020,第47回全日本大学選手権大会,男子舵手なしペア,Final B,東京経済大学,東京経済大学,2,07:11.07
2020,第47回全日本大学選手権大会,男子舵手なしペア,Final B,一橋大学,一橋大学,3,07:19.53
2020,第47回全日本大学選手権大会,男子舵手なしペア,Final B,法政大学,法政大学,4,07:19.75
2020,第47回全日本大学選手権大会,男子舵手なしペア,Final A,京都大学,京都大学,1,06:57.15
2020,第47回全日本大学選手権大会,男子舵手なしペア,Final A,仙台大学,仙台大学,2,06:59.81
2020,第47回全日本大学選手権大会,男子舵手なしペア,Final A,慶應義塾大学,慶應義塾大学,3,07:22.05
2020,第47回全日本大学選手権大会,男子舵手なしペア,Final A,早稲田大学,早稲田大学,4,07:24.70
2020,第47回全日本大学選手権大会,女子舵手なしペア,Final B,明治大学,明治大学,1,08:05.93
2020,第47回全日本大学選手権大会,女子舵手なしペア,Final B,仙台大学,仙台大学,2,08:06.26
2020,第47回全日本大学選手権大会,女子舵手なしペア,Final B,慶應義塾大学,慶應義塾大学,3,08:22.35
2020,第47回全日本大学選手権大会,女子舵手なしペア,Final B,同志社大学,同志社大学,4,08:38.30
2020,第47回全日本大学選手権大会,女子舵手なしペア,Final A,立命館大学,立命館大学,1,07:45.30
2020,第47回全日本大学選手権大会,女子舵手なしペア,Final A,早稲田大学,早稲田大学,2,07:53.57
2020,第47回全日本大学選手権大会,女子舵手なしペア,Final A,日本体育大学,日本体育大学,3,07:56.04
2020,第47回全日本大学選手権大会,女子舵手なしペア,Final A,一橋大学,一橋大学,4,08:00.41
2020,第47回全日本大学選手権大会,女子舵手なしペア,Final A,富山国際大学,富山国際大学,5,08:07.86
2020,第47回全日本大学選手権大会,男子シングルスカル,Final B,小島 佑太,同志社大学,1,07:35.53
2020,第47回全日本大学選手権大会,男子シングルスカル,Final B,松口 海人,広島大学,2,07:36.15
2020,第47回全日本大学選手権大会,男子シングルスカル,Final B,浅山 悠,東京大学,3,07:36.20
2020,第47回全日本大学選手権大会,男子シングルスカル,Final B,武岡 大雅,慶應義塾大学,4,07:49.09
2020,第47回全日本大学選手権大会,男子シングルスカル,Final A,福井 康,仙台大学,1,07:12.58
2020,第47回全日本大学選手権大会,男子シングルスカル,Final A,松本 開成,富山国際大学,2,07:20.14
2020,第47回全日本大学選手権大会,男子シングルスカル,Final A,小野田 空羽,松江工業高等専門学校,3,07:22.42
2020,第47回全日本大学選手権大会,男子シングルスカル,Final A,日田 駿,日本体育大学,4,07:27.81
2020,第47回全日本大学選手権大会,女子シングルスカル,Final B,四方 美咲,鹿屋体育大学,1,08:19.12
2020,第47回全日本大学選手権大会,女子シングルスカル,Final B,鶴見 和佳奈,東京経済大学,2,08:21.69
2020,第47回全日本大学選手権大会,女子シングルスカル,Final B,辻田 みどり,一橋大学,3,08:24.40
2020,第47回全日本大学選手権大会,女子シングルスカル,Final B,渡辺 杏,法政大学,4,08:33.91
2020,第47回全日本大学選手権大会,女子シングルスカル,Final A,茂内 さくら,早稲田大学,1,08:11.60
2020,第47回全日本大学選手権大会,女子シングルスカル,Final A,柿島 麗,金沢大学,2,08:14.29
2020,第47回全日本大学選手権大会,女子シングルスカル,Final A,荒井 千奈,日本体育大学,3,08:21.41
2020,第47回全日本大学選手権大会,女子シングルスカル,Final A,山本 百華,同志社大学,4,08:31.97
2020,第47回全日本大学選手権大会,男子舵手なしフォア,Final B,明治大学,明治大学,1,06:28.58
2020,第47回全日本大学選手権大会,男子舵手なしフォア,Final B,富山国際大学,富山国際大学,2,06:29.53
2020,第47回全日本大学選手権大会,男子舵手なしフォア,Final B,一橋大学,一橋大学,3,06:41.61
2020,第47回全日本大学選手権大会,男子舵手なしフォア,Final B,中央大学,中央大学,4,06:43.48
2020,第47回全日本大学選手権大会,男子舵手なしフォア,Final A,立教大学,立教大学,1,06:21.58
2020,第47回全日本大学選手権大会,男子舵手なしフォア,Final A,慶應義塾大学,慶應義塾大学,2,06:24.59
2020,第47回全日本大学選手権大会,男子舵手なしフォア,Final A,仙台大学,仙台大学,3,06:24.85
2020,第47回全日本大学選手権大会,男子舵手なしフォア,Final A,早稲田大学,早稲田大学,4,06:38.02
2020,第47回全日本大学選手権大会,男子舵手なしクォドルプル,Final B,同志社大学,同志社大学,1,06:23.09
2020,第47回全日本大学選手権大会,男子舵手なしクォドルプル,Final B,東京経済大学,東京経済大学,2,06:23.46
2020,第47回全日本大学選手権大会,男子舵手なしクォドルプル,Final B,立教大学,立教大学,3,06:23.48
2020,第47回全日本大学選手権大会,男子舵手なしクォドルプル,Final B,富山国際大学,富山国際大学,4,06:35.18
2020,第47回全日本大学選手権大会,男子舵手なしクォドルプル,Final A,日本大学,日本大学,1,06:05.86
2020,第47回全日本大学選手権大会,男子舵手なしクォドルプル,Final A,明治大学,明治大学,2,06:09.40
2020,第47回全日本大学選手権大会,男子舵手なしクォドルプル,Final A,仙台大学,仙台大学,3,06:12.65
