year,competition_name,event_name,final_group,crew_name,organization,rank,time
2017,第39回全日本軽量級選手権大会,男子シングルスカル,Final B,武田 大作,ダイキ,1,07:26.51
2017,第39回全日本軽量級選手権大会,男子シングルスカル,Final B,東田 和季,瀬田漕艇クラブ,2,07:28.41
2017,第39回全日本軽量級選手権大会,男子シングルスカル,Final B,長田 敦,日本紙パルプ商事,3,07:38.29
2017,第39回全日本軽量級選手権大会,男子シングルスカル,Final B,井出 健二,今治造船,4,07:54.98
2017,第39回全日本軽量級選手権大会,男子シングルスカル,Final A,中野 紘志,新日鐵住金B,1,07:12.44
2017,第39回全日本軽量級選手権大会,男子シングルスカル,Final A,Wong Pak Yan,Hong Kong China Rowing Asso,2,07:17.96
2017,第39回全日本軽量級選手権大会,男子シングルスカル,Final A,大河原 敦史,明治安田生命A,3,07:22.63
2017,第39回全日本軽量級選手権大会,男子シングルスカル,Final A,浜田 祐太,明治安田生命B,4,07:25.42
2017,第39回全日本軽量級選手権大会,女子シングルスカル,Final B,上田 佳奈子,明治安田生命A,1,08:22.77
2017,第39回全日本軽量級選手権大会,女子シングルスカル,Final B,安井 咲智,早稲田大学B,2,08:33.07
2017,第39回全日本軽量級選手権大会,女子シングルスカル,Final B,太田 幸,トヨタ自動車,3,08:34.39
2017,第39回全日本軽量級選手権大会,女子シングルスカル,Final B,浜田 美咲,戸田中央総合病院RC,4,08:40.05
2017,第39回全日本軽量級選手権大会,女子シングルスカル,Final A,Lee Ka Man,Hong Kong China Rowing Associ,1,07:58.85
2017,第39回全日本軽量級選手権大会,女子シングルスカル,Final A,大石 綾美,アイリスオーヤマ,2,08:02.03
2017,第39回全日本軽量級選手権大会,女子シングルスカル,Final A,納田 麻妃,関西電力小浜A,3,08:10.12
2017,第39回全日本軽量級選手権大会,女子シングルスカル,Final A,末廣 あすみ,デンソーA,4,08:21.69
2017,第39回全日本軽量級選手権大会,男子ダブルスカル,Final B,Hong Kong China Rowing AssociaB,Hong Kong China Rowing AssociaB,1,06:52.75
2017,第39回全日本軽量級選手権大会,男子ダブルスカル,Final B,広島大学A,広島大学A,2,06:55.01
2017,第39回全日本軽量級選手権大会,男子ダブルスカル,Final B,明治大学,明治大学,3,06:55.15
2017,第39回全日本軽量級選手権大会,男子ダブルスカル,Final B,山口合同ガス,山口合同ガス,4,07:05.71
2017,第39回全日本軽量級選手権大会,男子ダブルスカル,Final A,明治安田生命,明治安田生命,1,06:43.91
2017,第39回全日本軽量級選手権大会,男子ダブルスカル,Final A,Hong Kong China Rowing AssociaA,Hong Kong China Rowing AssociaA,2,06:45.41
2017,第39回全日本軽量級選手権大会,男子ダブルスカル,Final A,今治造船,今治造船,3,06:51.55
2017,第39回全日本軽量級選手権大会,男子ダブルスカル,Final A,関西電力美浜,関西電力美浜,4,06:54.40
2017,第39回全日本軽量級選手権大会,女子ダブルスカル,Final B,富山国際大学B,富山国際大学B,1,07:42.02
