year,competition_name,event_name,final_group,crew_name,organization,rank,time
2014,第36回全日本軽量級選手権大会,男子シングルスカル,Final B,長田 敦,早稲田大学,1,07:58.12
2014,第36回全日本軽量級選手権大会,男子シングルスカル,Final B,塚本 章良,トヨタ紡織B,2,07:58.86
2014,第36回全日本軽量級選手権大会,男子シングルスカル,Final B,阿部 大貴,トヨタ紡織C,3,08:03.69
2014,第36回全日本軽量級選手権大会,男子シングルスカル,Final B,澤田 研太,トヨタ紡織F,4,08:26.52
2014,第36回全日本軽量級選手権大会,男子シングルスカル,Final A,武田 大作,ダイキ,1,07:54.09
2014,第36回全日本軽量級選手権大会,男子シングルスカル,Final A,池田 裕紀,トヨタ紡織A,2,07:59.02
2014,第36回全日本軽量級選手権大会,男子シングルスカル,Final A,佐藤 芳則,明治安田生命,3,08:07.43
2014,第36回全日本軽量級選手権大会,男子シングルスカル,Final A,今井 祐樹,中部電力A,4,08:07.58
2014,第36回全日本軽量級選手権大会,女子シングルスカル,Final B,青山 恭子,関西アーバン銀行,1,09:01.11
2014,第36回全日本軽量級選手権大会,女子シングルスカル,Final B,内藤 愛理,大垣共立銀行B,2,09:03.80
2014,第36回全日本軽量級選手権大会,女子シングルスカル,Final B,松本 有希代,RC長崎,3,09:05.17
2014,第36回全日本軽量級選手権大会,女子シングルスカル,Final B,小原 有賀,筑波大学B,4,09:17.04
2014,第36回全日本軽量級選手権大会,女子シングルスカル,Final A,福本 温子,明治安田生命A,1,08:58.54
2014,第36回全日本軽量級選手権大会,女子シングルスカル,Final A,窪 可奈子,関西電力小浜A,2,09:03.86
2014,第36回全日本軽量級選手権大会,女子シングルスカル,Final A,首藤 多佳子,明治安田生命B,3,09:10.79
2014,第36回全日本軽量級選手権大会,女子シングルスカル,Final A,松本 愛理,立教大学A,4,09:15.51
2014,第36回全日本軽量級選手権大会,男子ダブルスカル,Final B,日本大学,日本大学,1,07:21.12
2014,第36回全日本軽量級選手権大会,男子ダブルスカル,Final B,岐阜経済大学,岐阜経済大学,2,07:21.97
2014,第36回全日本軽量級選手権大会,男子ダブルスカル,Final B,東海大学B,東海大学B,3,07:22.55
2014,第36回全日本軽量級選手権大会,男子ダブルスカル,Final B,日本体育大学,日本体育大学,4,07:22.91
2014,第36回全日本軽量級選手権大会,男子ダブルスカル,Final A,明治安田生命,明治安田生命,1,07:03.84
2014,第36回全日本軽量級選手権大会,男子ダブルスカル,Final A,中部電力,中部電力,2,07:08.83
2014,第36回全日本軽量級選手権大会,男子ダブルスカル,Final A,立命館大学,立命館大学,3,07:10.86
2014,第36回全日本軽量級選手権大会,男子ダブルスカル,Final A,新日鐵住金,新日鐵住金,4,07:21.67
2014,第36回全日本軽量級選手権大会,女子ダブルスカル,Final B,明治安田生命,明治安田生命,1,08:04.78
2014,第36回全日本軽量級選手権大会,女子ダブルスカル,Final B,大垣共立銀行B,大垣共立銀行B,2,08:07.13
2014,第36回全日本軽量級選手権大会,女子ダブルスカル,Final B,中部電力,中部電力,3,08:13.13
2014,第36回全日本軽量級選手権大会,女子ダブルスカル,Final B,東北大学C,東北大学C,4,08:30.19
2014,第36回全日本軽量級選手権大会,女子ダブルスカル,Final A,富山国際大学,富山国際大学,1,07:54.60
2014,第36回全日本軽量級選手権大会,女子ダブルスカル,Final A,東北大学A,東北大学A,2,07:58.93
2014,第36回全日本軽量級選手権大会,女子ダブルスカル,Final A,立命館大学B,立命館大学B,3,08:01.94
2014,第36回全日本軽量級選手権大会,女子ダブルスカル,Final A,筑波大学,筑波大学,4,08:10.04
2014,第36回全日本軽量級選手権大会,男子舵手なしペア,Final B,慶應義塾大学,慶應義塾大学,1,07:43.92
2014,第36回全日本軽量級選手権大会,男子舵手なしペア,Final B,東海大学,東海大学,2,07:49.14
2014,第36回全日本軽量級選手権大会,男子舵手なしペア,Final B,京都大学B,京都大学B,3,07:52.20
2014,第36回全日本軽量級選手権大会,男子舵手なしペア,Final B,中央大学,中央大学,4,08:00.14
2014,第36回全日本軽量級選手権大会,男子舵手なしペア,Final A,明治安田生命,明治安田生命,1,07:28.61
2014,第36回全日本軽量級選手権大会,男子舵手なしペア,Final A,日本大学,日本大学,2,07:30.84
2014,第36回全日本軽量級選手権大会,男子舵手なしペア,Final A,茨城大学A,茨城大学A,3,07:40.92
2014,第36回全日本軽量級選手権大会,男子舵手なしペア,Final A,仙台大学,仙台大学,4,07:41.39
2014,第36回全日本軽量級選手権大会,男子舵手なしフォア,Final B,早稲田大学,早稲田大学,1,06:43.34
2014,第36回全日本軽量級選手権大会,男子舵手なしフォア,Final B,戸田中央総合病院RC,戸田中央総合病院RC,2,06:45.66
2014,第36回全日本軽量級選手権大会,男子舵手なしフォア,Final B,仙台大学,仙台大学,3,06:46.50
2014,第36回全日本軽量級選手権大会,男子舵手なしフォア,Final B,東海大学,東海大学,4,06:49.05
2014,第36回全日本軽量級選手権大会,男子舵手なしフォア,Final A,日本大学A,日本大学A,1,06:33.83
2014,第36回全日本軽量級選手権大会,男子舵手なしフォア,Final A,NTT東日本,NTT東日本,2,06:36.33
2014,第36回全日本軽量級選手権大会,男子舵手なしフォア,Final A,日本大学B,日本大学B,3,06:38.05
2014,第36回全日本軽量級選手権大会,男子舵手なしフォア,Final A,東レ滋賀,東レ滋賀,4,06:40.59
2014,第36回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,富山国際大学,富山国際大学,1,06:28.29
2014,第36回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,東海大学,東海大学,2,06:30.78
2014,第36回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,龍谷大学,龍谷大学,3,06:32.04
2014,第36回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,東京経済大学A,東京経済大学A,1,06:17.21
2014,第36回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,明治大学,明治大学,2,06:18.22
2014,第36回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,日本体育大学,日本体育大学,3,06:20.62
2014,第36回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,立命館大学,立命館大学,4,06:24.59
2014,第36回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final B,富山国際大学A,富山国際大学A,1,07:18.61
2014,第36回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final B,龍谷大学,龍谷大学,2,07:20.80
2014,第36回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final B,法政大学B,法政大学B,3,07:24.36
2014,第36回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final B,日本体育大学,日本体育大学,4,07:27.05
2014,第36回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final A,明治大学,明治大学,1,07:03.65
2014,第36回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final A,早稲田大学,早稲田大学,2,07:06.30
2014,第36回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final A,関西電力小浜,関西電力小浜,3,07:08.68
2014,第36回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final A,法政大学A,法政大学A,4,07:08.93
2014,第36回全日本軽量級選手権大会,男子エイト,Final B,法政大学,法政大学,1,06:12.06
2014,第36回全日本軽量級選手権大会,男子エイト,Final B,慶應義塾大学,慶應義塾大学,2,06:15.33
2014,第36回全日本軽量級選手権大会,男子エイト,Final B,一橋大学B,一橋大学B,3,06:15.38
2014,第36回全日本軽量級選手権大会,男子エイト,Final B,トヨタ自動車,トヨタ自動車,4,06:17.56
2014,第36回全日本軽量級選手権大会,男子エイト,Final A,一橋大学A,一橋大学A,1,06:00.92
2014,第36回全日本軽量級選手権大会,男子エイト,Final A,中央大学,中央大学,2,06:04.11
2014,第36回全日本軽量級選手権大会,男子エイト,Final A,明治大学,明治大学,3,06:04.89
2014,第36回全日本軽量級選手権大会,男子エイト,Final A,中部電力,中部電力,4,06:08.35
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手付きフォア,Final B,東北大学,東北大学,1,06:44.50
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手付きフォア,Final B,京都大学,京都大学,2,06:49.50
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手付きフォア,Final B,中央大学,中央大学,3,07:04.44
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手付きフォア,Final A,日本大学,日本大学,1,06:42.30
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手付きフォア,Final A,東海大学,東海大学,2,06:44.98
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手付きフォア,Final A,明治大学,明治大学,3,06:46.75
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手付きフォア,Final A,東京大学,東京大学,4,06:56.29
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子ダブルスカル,Final B,北海道大学水産学部,北海道大学水産学部,1,06:52.98
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子ダブルスカル,Final B,立命館大学,立命館大学,2,06:55.01
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子ダブルスカル,Final B,一橋大学,一橋大学,3,07:01.46
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子ダブルスカル,Final B,東京外国語大学,東京外国語大学,4,07:10.06
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子ダブルスカル,Final A,筑波大学,筑波大学,1,06:51.37
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子ダブルスカル,Final A,龍谷大学,龍谷大学,2,06:57.04
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子ダブルスカル,Final A,日本体育大学,日本体育大学,3,07:00.32
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子ダブルスカル,Final A,日本大学,日本大学,4,07:03.54
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子ダブルスカル,Final B,法政大学,法政大学,1,07:38.84
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子ダブルスカル,Final B,東北大学,東北大学,2,07:44.27
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子ダブルスカル,Final B,一橋大学,一橋大学,3,07:45.51
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子ダブルスカル,Final B,日本体育大学,日本体育大学,4,07:49.35
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子ダブルスカル,Final A,富山国際大学,富山国際大学,1,07:28.92
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子ダブルスカル,Final A,早稲田大学,早稲田大学,2,07:31.16
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子ダブルスカル,Final A,仙台大学,仙台大学,3,07:42.55
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子ダブルスカル,Final A,東京経済大学,東京経済大学,4,07:52.55
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手なしペア,Final B,日本大学,日本大学,1,07:08.56
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手なしペア,Final B,慶應義塾大学,慶應義塾大学,2,07:11.91
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手なしペア,Final B,名古屋工業大学,名古屋工業大学,3,07:14.58
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手なしペア,Final B,明治大学,明治大学,4,07:19.81
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手なしペア,Final A,一橋大学,一橋大学,1,06:58.30
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手なしペア,Final A,仙台大学,仙台大学,2,06:59.42
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手なしペア,Final A,東京経済大学,東京経済大学,3,07:09.18
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手なしペア,Final A,中央大学,中央大学,4,07:15.30
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子舵手なしペア,Final B,日本体育大学,日本体育大学,1,07:54.37
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子舵手なしペア,Final B,法政大学,法政大学,2,07:59.09
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子舵手なしペア,Final B,富山国際大学,富山国際大学,3,08:02.24
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子舵手なしペア,Final B,東京経済大学,東京経済大学,4,08:07.90
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子舵手なしペア,Final A,名古屋大学,名古屋大学,1,07:43.92
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子舵手なしペア,Final A,立命館大学,立命館大学,2,07:45.15
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子舵手なしペア,Final A,早稲田大学,早稲田大学,3,07:52.81
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子舵手なしペア,Final A,明治大学,明治大学,4,07:58.90
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子シングルスカル,Final B,藤田 寛生,一橋大学,1,07:26.13
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子シングルスカル,Final B,菅原 佑亮,立命館大学,2,07:26.84
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子シングルスカル,Final B,柳橋 賢,東京医科歯科大学,3,07:41.06
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子シングルスカル,Final B,坂崎 太紀,北海道大学医学部,4,07:58.25
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子シングルスカル,Final A,志賀 巧,日本大学,1,07:25.89
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子シングルスカル,Final A,伏見 省吾,岡山大学,2,07:30.49
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子シングルスカル,Final A,斧澤 友寛,東京経済大学,3,07:35.60
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子シングルスカル,Final A,大久保 亮,明治大学,4,07:50.60
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子シングルスカル,Final B,後藤 春可,島根大学,1,08:13.02
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子シングルスカル,Final B,植松 詩織,岐阜経済大学,2,08:16.71
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子シングルスカル,Final B,川合 瞳,立命館大学,3,08:23.50
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子シングルスカル,Final B,西分 英里菜,法政大学,4,08:28.81
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子シングルスカル,Final A,冨田 千愛,明治大学,1,07:55.64
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子シングルスカル,Final A,中川 ひかり,仙台大学,2,08:07.44
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子シングルスカル,Final A,小原 有賀,筑波大学,3,08:11.54
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,女子シングルスカル,Final A,木下 美奈,早稲田大学,4,08:16.54
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手付きペア,Final B,早稲田大学,早稲田大学,1,07:46.75
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手付きペア,Final B,京都大学,京都大学,2,07:48.21
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手付きペア,Final B,東京大学,東京大学,3,07:53.65
2014,第41回全日本大学選手権大会／第54回オックスフォード盾レガッタ,男子舵手付きペア,Final B,東海大学,東海大学,4,07:55.78
