year,competition_name,event_name,final_group,crew_name,organization,rank,time
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final B,佐藤 翔,日本製鉄,1,07:37.85
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final B,大下 陽士,慶應義塾大学,2,07:41.39
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final B,林 颯一郎,同志社大学,3,07:46.41
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final B,清水 諒,明治安田生命,4,07:48.04
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final B,野口 皓平,米子漕艇クラブ,5,07:52.76
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final B,武田 大作,愛媛大学黒汐会,6,08:07.31
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final A,西村 光生,アイリスオーヤマ,1,07:28.64
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final A,石塚 慎之助,TeamSSP,2,07:34.32
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final A,北野上 隼人,日本体育大学,3,07:34.85
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final A,菅原 陸翔,日本大学,4,07:35.72
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final A,渡辺 龍一郎,NTT東日本,5,07:41.77
2023,第101回全日本ローイング選手権大会,男子シングルスカル,Final A,岡田 遼太,滋賀レイクスターズ,6,07:41.99
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final B,四方 美咲,陽進堂ホールディングス,1,08:47.44
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final B,黒木 秀里,鹿屋体育大学,2,08:57.19
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final B,中島 真央,成立学園高校,3,09:01.92
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final B,中尾 咲月,関西みらい銀行,4,09:10.10
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final B,新見 萌恵,東京海洋大学,5,09:13.48
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final B,北川 真由,龍谷大学,6,09:40.20
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final A,冨田 千愛,東京大学RSL,1,08:24.80
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final A,角谷 真緒,アイリスオーヤマ,2,08:28.43
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final A,西原 佳,プリントパック,3,08:32.60
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final A,馬野 彩加,関西電力,4,08:47.14
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final A,山領 夏実,今治ローイングクラブ,5,08:51.34
2023,第101回全日本ローイング選手権大会,女子シングルスカル,Final A,山本 天空,岐阜協立大学,6,08:58.01
2023,第101回全日本ローイング選手権大会,男子ダブルスカル,Final A,日本体育大学,日本体育大学,1,07:45.48
2023,第101回全日本ローイング選手権大会,男子ダブルスカル,Final A,立命館大学,立命館大学,2,07:47.45
2023,第101回全日本ローイング選手権大会,男子ダブルスカル,Final A,日本大学,日本大学,3,07:49.49
2023,第101回全日本ローイング選手権大会,男子ダブルスカル,Final A,関西電力,関西電力,4,08:17.48
2023,第101回全日本ローイング選手権大会,男子ダブルスカル,Final A,東海大学,東海大学,5,08:28.61
2023,第101回全日本ローイング選手権大会,女子ダブルスカル,Final B,日本体育大学,日本体育大学,1,07:49.49
2023,第101回全日本ローイング選手権大会,女子ダブルスカル,Final B,NTT東日本,NTT東日本,2,07:49.72
2023,第101回全日本ローイング選手権大会,女子ダブルスカル,Final B,デンソー,デンソー,3,07:50.25
2023,第101回全日本ローイング選手権大会,女子ダブルスカル,Final B,トヨタRC,トヨタRC,4,07:54.70
2023,第101回全日本ローイング選手権大会,女子ダブルスカル,Final B,法政大学,法政大学,5,08:04.59
2023,第101回全日本ローイング選手権大会,女子ダブルスカル,Final B,北陸電気工業,北陸電気工業,6,08:10.97
2023,第101回全日本ローイング選手権大会,女子ダブルスカル,Final A,戸田中央総合病院RC,戸田中央総合病院RC,1,07:35.69
