year,competition_name,event_name,final_group,crew_name,organization,rank,time
2011,Japan Cup 第33回全日本軽量級選手権大会,男子シングルスカル,Final B,武田 康嗣,富山国際大学A,1,07:17.45
2011,Japan Cup 第33回全日本軽量級選手権大会,男子シングルスカル,Final B,田中 洋平,日本大学A,2,07:19.90
2011,Japan Cup 第33回全日本軽量級選手権大会,男子シングルスカル,Final B,槻木 裕太,東レ滋賀,3,07:22.78
2011,Japan Cup 第33回全日本軽量級選手権大会,男子シングルスカル,Final B,吉原 至,早稲田大学,4,10:24.40
2011,Japan Cup 第33回全日本軽量級選手権大会,男子シングルスカル,Final A,浜田 祐太,明治安田生命B,1,07:10.81
2011,Japan Cup 第33回全日本軽量級選手権大会,男子シングルスカル,Final A,西本 絢也,トヨタ紡織A,2,07:13.00
2011,Japan Cup 第33回全日本軽量級選手権大会,男子シングルスカル,Final A,今井 祐樹,中部電力A,3,07:14.19
2011,Japan Cup 第33回全日本軽量級選手権大会,男子シングルスカル,Final A,西川 正芳,NTT東日本東京,4,07:37.94
2011,Japan Cup 第33回全日本軽量級選手権大会,女子シングルスカル,Final B,首藤 多佳子,明治安田生命B,1,08:59.49
2011,Japan Cup 第33回全日本軽量級選手権大会,女子シングルスカル,Final B,古川 恵子,日本体育大学B,2,09:03.54
2011,Japan Cup 第33回全日本軽量級選手権大会,女子シングルスカル,Final B,武澤 歩惟,アイリスオーヤマ,3,09:05.47
2011,Japan Cup 第33回全日本軽量級選手権大会,女子シングルスカル,Final B,野崎 千聖,岡山大学,4,09:27.16
2011,Japan Cup 第33回全日本軽量級選手権大会,女子シングルスカル,Final A,熊倉 美咲,戸田中央総合病院RC,1,07:59.75
2011,Japan Cup 第33回全日本軽量級選手権大会,女子シングルスカル,Final A,越智 愛来,早稲田大学A,2,08:02.62
2011,Japan Cup 第33回全日本軽量級選手権大会,女子シングルスカル,Final A,津田 佳保瑠,関西電力小浜D,3,08:09.58
2011,Japan Cup 第33回全日本軽量級選手権大会,女子シングルスカル,Final A,小笠原 沙織,仙台大学A,4,08:13.47
2011,Japan Cup 第33回全日本軽量級選手権大会,男子ダブルスカル,Final B,瀬田漕艇クラブ,瀬田漕艇クラブ,1,06:49.94
2011,Japan Cup 第33回全日本軽量級選手権大会,男子ダブルスカル,Final B,仙台大学,仙台大学,2,07:05.18
2011,Japan Cup 第33回全日本軽量級選手権大会,男子ダブルスカル,Final B,京都大学,京都大学,3,07:05.81
2011,Japan Cup 第33回全日本軽量級選手権大会,男子ダブルスカル,Final B,東京工業大学,東京工業大学,4,07:12.38
2011,Japan Cup 第33回全日本軽量級選手権大会,男子ダブルスカル,Final A,東レ滋賀,東レ滋賀,1,06:38.79
2011,Japan Cup 第33回全日本軽量級選手権大会,男子ダブルスカル,Final A,戸田中央総合病院RC,戸田中央総合病院RC,2,06:54.68
2011,Japan Cup 第33回全日本軽量級選手権大会,男子ダブルスカル,Final A,富山国際大学,富山国際大学,3,06:56.11
2011,Japan Cup 第33回全日本軽量級選手権大会,男子ダブルスカル,Final A,日本体育大学,日本体育大学,4,07:06.44
2011,Japan Cup 第33回全日本軽量級選手権大会,女子ダブルスカル,Final B,東京経済大学,東京経済大学,1,07:33.56
2011,Japan Cup 第33回全日本軽量級選手権大会,女子ダブルスカル,Final B,仙台大学,仙台大学,2,07:33.96
2011,Japan Cup 第33回全日本軽量級選手権大会,女子ダブルスカル,Final B,一橋大学,一橋大学,3,07:37.76
2011,Japan Cup 第33回全日本軽量級選手権大会,女子ダブルスカル,Final B,東北大学,東北大学,4,07:38.50
2011,Japan Cup 第33回全日本軽量級選手権大会,女子ダブルスカル,Final A,関西アーバン銀行,関西アーバン銀行,1,07:26.83
2011,Japan Cup 第33回全日本軽量級選手権大会,女子ダブルスカル,Final A,立命館大学,立命館大学,2,07:28.72
2011,Japan Cup 第33回全日本軽量級選手権大会,女子ダブルスカル,Final A,早稲田大学,早稲田大学,3,07:29.99
2011,Japan Cup 第33回全日本軽量級選手権大会,女子ダブルスカル,Final A,慶應義塾大学,慶應義塾大学,4,07:32.10
2011,Japan Cup 第33回全日本軽量級選手権大会,男子舵手なしペア,Final B,中部電力,中部電力,1,07:20.35
2011,Japan Cup 第33回全日本軽量級選手権大会,男子舵手なしペア,Final B,明治大学,明治大学,2,07:22.28
