year,competition_name,event_name,final_group,crew_name,organization,rank,time
2019,第97回全日本選手権大会,男子シングルスカル,Final B,島田 隼輔,日本大学,1,07:24.27
2019,第97回全日本選手権大会,男子シングルスカル,Final B,武田 大作,ダイキ,2,07:25.29
2019,第97回全日本選手権大会,男子シングルスカル,Final B,吾郷 匠実,松江工業高等専門学校,3,07:31.82
2019,第97回全日本選手権大会,男子シングルスカル,Final B,岡田 遼太,三重選抜,4,07:39.08
2019,第97回全日本選手権大会,男子シングルスカル,Final A,中野 紘志,中野紘志RC,1,07:15.91
2019,第97回全日本選手権大会,男子シングルスカル,Final A,武田 匡弘,関西電力,2,07:24.39
2019,第97回全日本選手権大会,男子シングルスカル,Final A,遠山 秀雄,日本体育大学,3,07:29.88
2019,第97回全日本選手権大会,男子シングルスカル,Final A,阿部 光治,早稲田大学,4,07:32.44
2019,第97回全日本選手権大会,女子シングルスカル,Final B,小原 有賀,今治造船,1,08:16.82
2019,第97回全日本選手権大会,女子シングルスカル,Final B,滝澤 明日花,北陸電気工業,2,08:21.70
2019,第97回全日本選手権大会,女子シングルスカル,Final B,鈴木 亜由子,四神会,3,08:21.71
2019,第97回全日本選手権大会,女子シングルスカル,Final B,原 織江,RA仙台,4,08:30.36
2019,第97回全日本選手権大会,女子シングルスカル,Final A,大石 綾美,アイリスオーヤマ,1,07:48.39
2019,第97回全日本選手権大会,女子シングルスカル,Final A,西原 佳,プリントパック,2,07:55.76
2019,第97回全日本選手権大会,女子シングルスカル,Final A,仲澤 春香,若狭高校,3,08:03.29
2019,第97回全日本選手権大会,女子シングルスカル,Final A,領木 暦,明治安田生命,4,08:10.71
2019,第97回全日本選手権大会,男子ダブルスカル,Final B,富山国際大学,富山国際大学,1,07:11.44
2019,第97回全日本選手権大会,男子ダブルスカル,Final B,三重選抜,三重選抜,2,07:18.60
2019,第97回全日本選手権大会,男子ダブルスカル,Final B,仙台大学,仙台大学,3,07:21.88
2019,第97回全日本選手権大会,男子ダブルスカル,Final B,警視庁,警視庁,4,07:59.99
2019,第97回全日本選手権大会,男子ダブルスカル,Final A,NTT東日本,NTT東日本,1,06:47.46
2019,第97回全日本選手権大会,男子ダブルスカル,Final A,アイリスオーヤマ,アイリスオーヤマ,2,06:50.10
2019,第97回全日本選手権大会,男子ダブルスカル,Final A,今治造船,今治造船,3,07:13.53
2019,第97回全日本選手権大会,男子ダブルスカル,Final A,品川リフラクトリーズ,品川リフラクトリーズ,4,07:48.25
2019,第97回全日本選手権大会,女子ダブルスカル,Final B,名古屋大学,名古屋大学,1,07:32.49
2019,第97回全日本選手権大会,女子ダブルスカル,Final B,成立学園高校,成立学園高校,2,07:35.57
2019,第97回全日本選手権大会,女子ダブルスカル,Final B,トヨタR.C.,トヨタR.C.,3,07:43.90
2019,第97回全日本選手権大会,女子ダブルスカル,Final B,明治安田生命,明治安田生命,4,07:46.41
2019,第97回全日本選手権大会,女子ダブルスカル,Final A,トヨタ自動車,トヨタ自動車,1,07:13.37
2019,第97回全日本選手権大会,女子ダブルスカル,Final A,関西電力,関西電力,2,07:13.43
2019,第97回全日本選手権大会,女子ダブルスカル,Final A,日体ボート倶楽部,日体ボート倶楽部,3,07:17.15
2019,第97回全日本選手権大会,女子ダブルスカル,Final A,早稲田大学,早稲田大学,4,07:43.56
2019,第97回全日本選手権大会,男子舵手なしペア,Final B,NTT東日本,NTT東日本,1,07:15.05
2019,第97回全日本選手権大会,男子舵手なしペア,Final B,中央大学,中央大学,2,07:17.44
2019,第97回全日本選手権大会,男子舵手なしペア,Final B,立教大学,立教大学,3,07:22.13
2019,第97回全日本選手権大会,男子舵手なしペア,Final A,チョープロ,チョープロ,1,06:58.35
2019,第97回全日本選手権大会,男子舵手なしペア,Final A,中部電力,中部電力,2,07:03.02
2019,第97回全日本選手権大会,男子舵手なしペア,Final A,慶應義塾大学,慶應義塾大学,3,07:05.42
2019,第97回全日本選手権大会,男子舵手なしペア,Final A,トヨタ紡織,トヨタ紡織,4,07:11.50
2019,第97回全日本選手権大会,女子舵手なしペア,Final B,仙台大学,仙台大学,1,07:59.08
2019,第97回全日本選手権大会,女子舵手なしペア,Final B,早稲田大学,早稲田大学,2,07:59.56
2019,第97回全日本選手権大会,女子舵手なしペア,Final B,龍谷大学,龍谷大学,3,08:18.68
2019,第97回全日本選手権大会,女子舵手なしペア,Final A,立命館大学,立命館大学,1,07:40.82
2019,第97回全日本選手権大会,女子舵手なしペア,Final A,一橋大学,一橋大学,2,07:51.06
2019,第97回全日本選手権大会,女子舵手なしペア,Final A,関西電力,関西電力,3,07:52.41
2019,第97回全日本選手権大会,女子舵手なしペア,Final A,中央大学,中央大学,4,07:56.38
2019,第97回全日本選手権大会,男子舵手なしフォア,Final B,日本大学,日本大学,1,06:43.51
2019,第97回全日本選手権大会,男子舵手なしフォア,Final B,慶應義塾大学,慶應義塾大学,2,06:46.29
2019,第97回全日本選手権大会,男子舵手なしフォア,Final B,明治大学,明治大学,3,06:48.11
2019,第97回全日本選手権大会,男子舵手なしフォア,Final B,中央大学,中央大学,4,07:05.55
2019,第97回全日本選手権大会,男子舵手なしフォア,Final A,仙台大学,仙台大学,1,06:28.17
2019,第97回全日本選手権大会,男子舵手なしフォア,Final A,NTT東日本,NTT東日本,2,06:31.12
2019,第97回全日本選手権大会,男子舵手なしフォア,Final A,立教大学,立教大学,3,06:31.74
2019,第97回全日本選手権大会,男子舵手なしフォア,Final A,中部電力,中部電力,4,06:32.55
2019,第97回全日本選手権大会,男子舵手なしクォドルプル,Final B,東レ滋賀,東レ滋賀,1,06:31.78
2019,第97回全日本選手権大会,男子舵手なしクォドルプル,Final B,トヨタR.C.,トヨタR.C.,2,06:32.99
2019,第97回全日本選手権大会,男子舵手なしクォドルプル,Final B,東京経済大学,東京経済大学,3,06:36.45
2019,第97回全日本選手権大会,男子舵手なしクォドルプル,Final B,早稲田大学,早稲田大学,4,06:44.50
2019,第97回全日本選手権大会,男子舵手なしクォドルプル,Final A,日本製鉄,日本製鉄,1,06:25.42
2019,第97回全日本選手権大会,男子舵手なしクォドルプル,Final A,戸田中央総合病院RC,戸田中央総合病院RC,2,06:32.01
2019,第97回全日本選手権大会,男子舵手なしクォドルプル,Final A,仙台大学,仙台大学,3,06:33.31
2019,第97回全日本選手権大会,男子舵手なしクォドルプル,Final A,明治大学,明治大学,4,06:42.77
2019,第97回全日本選手権大会,女子舵手なしクォドルプル,Final B,明治大学,明治大学,1,07:13.61
2019,第97回全日本選手権大会,女子舵手なしクォドルプル,Final B,早稲田大学,早稲田大学,2,07:15.55
2019,第97回全日本選手権大会,女子舵手なしクォドルプル,Final B,中部電力,中部電力,3,07:16.58
2019,第97回全日本選手権大会,女子舵手なしクォドルプル,Final B,富山国際大学,富山国際大学,4,07:20.97
2019,第97回全日本選手権大会,女子舵手なしクォドルプル,Final A,明治安田生命,明治安田生命,1,06:56.80
2019,第97回全日本選手権大会,女子舵手なしクォドルプル,Final A,デンソー,デンソー,2,07:01.64
2019,第97回全日本選手権大会,女子舵手なしクォドルプル,Final A,仙台大学,仙台大学,3,07:12.79
2019,第97回全日本選手権大会,女子舵手なしクォドルプル,Final A,中央大学,中央大学,4,07:22.53
2019,第97回全日本選手権大会,男子舵手つきフォア,Final B,仙台大学,仙台大学,1,07:04.27
2019,第97回全日本選手権大会,男子舵手つきフォア,Final B,日本体育大学,日本体育大学,2,07:07.93
2019,第97回全日本選手権大会,男子舵手つきフォア,Final B,京都大学,京都大学,3,07:10.51
2019,第97回全日本選手権大会,男子舵手つきフォア,Final B,関西大学,関西大学,4,07:27.35
2019,第97回全日本選手権大会,男子舵手つきフォア,Final A,法政大学,法政大学,1,06:54.28
2019,第97回全日本選手権大会,男子舵手つきフォア,Final A,中部電力,中部電力,2,06:56.78
2019,第97回全日本選手権大会,男子舵手つきフォア,Final A,大阪府立大学,大阪府立大学,3,06:57.37
2019,第97回全日本選手権大会,男子エイト,Final B,日本大学,日本大学,1,06:00.23
2019,第97回全日本選手権大会,男子エイト,Final B,明治安田生命,明治安田生命,2,06:02.96
2019,第97回全日本選手権大会,男子エイト,Final B,仙台大学,仙台大学,3,06:08.68
2019,第97回全日本選手権大会,男子エイト,Final B,明治大学,明治大学,4,06:16.65
2019,第97回全日本選手権大会,男子エイト,Final A,NTT東日本,NTT東日本,1,05:47.51
2019,第97回全日本選手権大会,男子エイト,Final A,トヨタ紡織,トヨタ紡織,2,05:49.79
2019,第97回全日本選手権大会,男子エイト,Final A,東レ滋賀,東レ滋賀,3,05:50.69
2019,第97回全日本選手権大会,男子エイト,Final A,中央大学,中央大学,4,05:58.18
2019,第97回全日本選手権大会,女子エイト,Final B,法政大学,法政大学,1,07:11.19
2019,第97回全日本選手権大会,女子エイト,Final B,富山国際大学,富山国際大学,2,07:16.59
2019,第97回全日本選手権大会,女子エイト,Final B,神戸大学,神戸大学,3,07:27.93
2019,第97回全日本選手権大会,女子エイト,Final B,慶應義塾大学,慶應義塾大学,4,07:29.37
2019,第97回全日本選手権大会,女子エイト,Final A,立教大学,立教大学,1,06:58.19
2019,第97回全日本選手権大会,女子エイト,Final A,明治大学,明治大学,2,06:59.33
2019,第97回全日本選手権大会,女子エイト,Final A,陽進堂,陽進堂,3,07:01.77
2019,第97回全日本選手権大会,女子エイト,Final A,日本体育大学,日本体育大学,4,07:09.57
2019,第97回全日本選手権大会,軽量級男子ダブルスカル,Final B,仙台大学,仙台大学,1,07:12.66
2019,第97回全日本選手権大会,軽量級男子ダブルスカル,Final B,立教大学,立教大学,2,07:15.35
2019,第97回全日本選手権大会,軽量級男子ダブルスカル,Final B,チョープロ,チョープロ,3,07:15.46
2019,第97回全日本選手権大会,軽量級男子ダブルスカル,Final B,中部電力,中部電力,4,07:18.94
2019,第97回全日本選手権大会,軽量級男子ダブルスカル,Final A,日本大学,日本大学,1,07:13.33
2019,第97回全日本選手権大会,軽量級男子ダブルスカル,Final A,同志社大学,同志社大学,2,07:15.92
2019,第97回全日本選手権大会,軽量級男子ダブルスカル,Final A,東京経済大学,東京経済大学,3,07:17.59
2019,第97回全日本選手権大会,軽量級男子ダブルスカル,Final A,日本体育大学,日本体育大学,4,07:25.61
2019,第97回全日本選手権大会,軽量級女子ダブルスカル,Final B,早稲田大学,早稲田大学,1,07:35.92
2019,第97回全日本選手権大会,軽量級女子ダブルスカル,Final B,中部電力,中部電力,2,07:40.94
