year,competition_name,event_name,final_group,crew_name,organization,rank,time
2012,Japan Cup 第34回全日本軽量級選手権大会,男子シングルスカル,Final B,倉谷 郁也,関西電力美浜B,1,07:54.08
2012,Japan Cup 第34回全日本軽量級選手権大会,男子シングルスカル,Final B,長田 敦,早稲田大学A,2,07:59.45
2012,Japan Cup 第34回全日本軽量級選手権大会,男子シングルスカル,Final B,別府 晃至,今治造船C,3,08:14.11
2012,Japan Cup 第34回全日本軽量級選手権大会,男子シングルスカル,Final B,伊藤 琢磨,電源開発ボート部,4,08:17.76
2012,Japan Cup 第34回全日本軽量級選手権大会,男子シングルスカル,Final A,田立 健太,戸田中央総合病院RCA,1,07:23.25
2012,Japan Cup 第34回全日本軽量級選手権大会,男子シングルスカル,Final A,大元 英照,アイリスオーヤマ,2,07:24.78
2012,Japan Cup 第34回全日本軽量級選手権大会,男子シングルスカル,Final A,So Sau Wah,Hong Kong China Rowing Associ,3,07:26.08
2012,Japan Cup 第34回全日本軽量級選手権大会,男子シングルスカル,Final A,奈良 和紀,日本大学B,4,07:46.13
2012,Japan Cup 第34回全日本軽量級選手権大会,女子シングルスカル,Final B,若井 江利,TAKAOドリーム,1,08:45.71
2012,Japan Cup 第34回全日本軽量級選手権大会,女子シングルスカル,Final B,坂東 慧子,中部電力A,2,08:58.16
2012,Japan Cup 第34回全日本軽量級選手権大会,女子シングルスカル,Final B,古川 恵子,日本体育大学A,3,09:00.98
2012,Japan Cup 第34回全日本軽量級選手権大会,女子シングルスカル,Final B,納田 麻妃,関西電力小浜B,4,09:04.06
2012,Japan Cup 第34回全日本軽量級選手権大会,女子シングルスカル,Final A,上田 佳奈子,明治安田生命,1,08:21.95
2012,Japan Cup 第34回全日本軽量級選手権大会,女子シングルスカル,Final A,堀田 茉希,大垣共立銀行,2,08:28.25
2012,Japan Cup 第34回全日本軽量級選手権大会,女子シングルスカル,Final A,北山 紗衣,デンソー,3,08:28.54
2012,Japan Cup 第34回全日本軽量級選手権大会,女子シングルスカル,Final A,野崎 千聖,中部電力B,4,08:31.58
2012,Japan Cup 第34回全日本軽量級選手権大会,男子ダブルスカル,Final B,日本大学B,日本大学B,1,06:59.32
2012,Japan Cup 第34回全日本軽量級選手権大会,男子ダブルスカル,Final B,戸田中央総合病院RCA,戸田中央総合病院RCA,2,07:01.51
2012,Japan Cup 第34回全日本軽量級選手権大会,男子ダブルスカル,Final B,日本体育大学,日本体育大学,3,07:03.88
2012,Japan Cup 第34回全日本軽量級選手権大会,男子ダブルスカル,Final B,茨城大学B,茨城大学B,4,07:18.05
2012,Japan Cup 第34回全日本軽量級選手権大会,男子ダブルスカル,Final A,Hong Kong China Rowing Associa,Hong Kong China Rowing Associa,1,06:52.77
2012,Japan Cup 第34回全日本軽量級選手権大会,男子ダブルスカル,Final A,瀬田漕艇クラブ,瀬田漕艇クラブ,2,06:54.34
2012,Japan Cup 第34回全日本軽量級選手権大会,男子ダブルスカル,Final A,関西電力美浜,関西電力美浜,3,06:55.84
2012,Japan Cup 第34回全日本軽量級選手権大会,男子ダブルスカル,Final A,筑波大学,筑波大学,4,06:56.67
2012,Japan Cup 第34回全日本軽量級選手権大会,女子ダブルスカル,Final B,関西アーバン銀行,関西アーバン銀行,1,08:04.66
2012,Japan Cup 第34回全日本軽量級選手権大会,女子ダブルスカル,Final B,東北大学,東北大学,2,08:07.13
2012,Japan Cup 第34回全日本軽量級選手権大会,女子ダブルスカル,Final B,立命館大学,立命館大学,3,08:18.48
2012,Japan Cup 第34回全日本軽量級選手権大会,女子ダブルスカル,Final B,東京海洋大学,東京海洋大学,4,08:18.53
2012,Japan Cup 第34回全日本軽量級選手権大会,女子ダブルスカル,Final A,デンソー,デンソー,1,07:34.86
2012,Japan Cup 第34回全日本軽量級選手権大会,女子ダブルスカル,Final A,明治安田生命B,明治安田生命B,2,07:41.70
2012,Japan Cup 第34回全日本軽量級選手権大会,女子ダブルスカル,Final A,大垣共立銀行,大垣共立銀行,3,07:43.84
2012,Japan Cup 第34回全日本軽量級選手権大会,女子ダブルスカル,Final A,東京経済大学,東京経済大学,4,07:53.73
2012,Japan Cup 第34回全日本軽量級選手権大会,男子舵手なしペア,Final B,東レ滋賀,東レ滋賀,1,07:17.14
2012,Japan Cup 第34回全日本軽量級選手権大会,男子舵手なしペア,Final B,明治大学A,明治大学A,2,07:26.75
2012,Japan Cup 第34回全日本軽量級選手権大会,男子舵手なしペア,Final B,島根大学,島根大学,3,07:30.16
2012,Japan Cup 第34回全日本軽量級選手権大会,男子舵手なしペア,Final B,山口大学B,山口大学B,4,07:42.02
2012,Japan Cup 第34回全日本軽量級選手権大会,男子舵手なしペア,Final A,Hong Kong China Rowing Associa,Hong Kong China Rowing Associa,1,07:16.24
