year,competition_name,event_name,final_group,crew_name,organization,rank,time
2010,Japan Cup 第32回全日本軽量級選手権大会,男子シングルスカル,Final B,小谷 健太,トヨタ紡織A,1,07:34.23
2010,Japan Cup 第32回全日本軽量級選手権大会,男子シングルスカル,Final B,矢地 謙太郎,瀬田漕艇クラブ,2,07:34.71
2010,Japan Cup 第32回全日本軽量級選手権大会,男子シングルスカル,Final B,西本 絢也,トヨタ紡織B,3,07:37.23
2010,Japan Cup 第32回全日本軽量級選手権大会,男子シングルスカル,Final B,吉原 至,早稲田大学,4,07:39.83
2010,Japan Cup 第32回全日本軽量級選手権大会,男子シングルスカル,Final A,So Sau Wah,Hong Kong China Rowing Associ,1,07:27.92
2010,Japan Cup 第32回全日本軽量級選手権大会,男子シングルスカル,Final A,倉谷 郁也,関西電力美浜A,2,07:34.28
2010,Japan Cup 第32回全日本軽量級選手権大会,男子シングルスカル,Final A,今井 祐樹,中部電力A,3,07:39.78
2010,Japan Cup 第32回全日本軽量級選手権大会,男子シングルスカル,Final A,Tolentino Benjamin,Philippine Rowing Ass,4,07:54.39
2010,Japan Cup 第32回全日本軽量級選手権大会,女子シングルスカル,Final B,Lee Ka Man,Hong Kong China Rowing Associ,1,08:21.04
2010,Japan Cup 第32回全日本軽量級選手権大会,女子シングルスカル,Final B,川原田 絵美,デンソーA,2,08:27.22
2010,Japan Cup 第32回全日本軽量級選手権大会,女子シングルスカル,Final B,中山 友紀,明治大学,3,08:31.24
2010,Japan Cup 第32回全日本軽量級選手権大会,女子シングルスカル,Final B,谷口 春香,明治安田生命C,4,08:34.61
2010,Japan Cup 第32回全日本軽量級選手権大会,女子シングルスカル,Final A,福本 温子,明治安田生命A,1,08:03.67
2010,Japan Cup 第32回全日本軽量級選手権大会,女子シングルスカル,Final A,熊倉 美咲,戸田中央総合病院RCA,2,08:06.21
2010,Japan Cup 第32回全日本軽量級選手権大会,女子シングルスカル,Final A,坂東 慧子,中部電力B,3,08:08.30
2010,Japan Cup 第32回全日本軽量級選手権大会,女子シングルスカル,Final A,林 真奈美,デンソーB,4,08:11.86
2010,Japan Cup 第32回全日本軽量級選手権大会,男子ダブルスカル,Final B,東京経済大学,東京経済大学,1,07:21.78
2010,Japan Cup 第32回全日本軽量級選手権大会,男子ダブルスカル,Final B,瀬田漕艇クラブB,瀬田漕艇クラブB,2,07:23.58
2010,Japan Cup 第32回全日本軽量級選手権大会,男子ダブルスカル,Final B,瀬田漕艇クラブA,瀬田漕艇クラブA,3,07:25.00
2010,Japan Cup 第32回全日本軽量級選手権大会,男子ダブルスカル,Final B,岐阜経済大学B,岐阜経済大学B,4,07:31.38
2010,Japan Cup 第32回全日本軽量級選手権大会,男子ダブルスカル,Final A,Hong Kong China Rowing Associa,Hong Kong China Rowing Associa,1,06:59.99
2010,Japan Cup 第32回全日本軽量級選手権大会,男子ダブルスカル,Final A,Philippine Rowing Association,Philippine Rowing Association,2,07:09.83
2010,Japan Cup 第32回全日本軽量級選手権大会,男子ダブルスカル,Final A,法政大学,法政大学,3,07:11.57
2010,Japan Cup 第32回全日本軽量級選手権大会,男子ダブルスカル,Final A,東海大学,東海大学,4,07:13.23
2010,Japan Cup 第32回全日本軽量級選手権大会,女子ダブルスカル,Final B,今治造船,今治造船,1,07:59.56
2010,Japan Cup 第32回全日本軽量級選手権大会,女子ダブルスカル,Final B,東北大学,東北大学,2,08:02.06
2010,Japan Cup 第32回全日本軽量級選手権大会,女子ダブルスカル,Final B,富山国際大学,富山国際大学,3,08:16.03
2010,Japan Cup 第32回全日本軽量級選手権大会,女子ダブルスカル,Final A,明治安田生命,明治安田生命,1,07:48.96
2010,Japan Cup 第32回全日本軽量級選手権大会,女子ダブルスカル,Final A,早稲田大学,早稲田大学,2,07:51.92
2010,Japan Cup 第32回全日本軽量級選手権大会,女子ダブルスカル,Final A,中部電力,中部電力,3,07:53.84
2010,Japan Cup 第32回全日本軽量級選手権大会,女子ダブルスカル,Final A,慶應義塾大学,慶應義塾大学,4,08:05.23
