year,competition_name,event_name,final_group,crew_name,organization,rank,time
2018,第40回全日本軽量級選手権大会,男子シングルスカル,Final B,小林 雅人,戸田中央総合病院RCA,1,07:41.28
2018,第40回全日本軽量級選手権大会,男子シングルスカル,Final B,小野 紘輝,チョープロA,2,07:43.31
2018,第40回全日本軽量級選手権大会,男子シングルスカル,Final B,野口 皓平,広島大学B,3,07:48.23
2018,第40回全日本軽量級選手権大会,男子シングルスカル,Final B,兼康 慎,関西電力美浜B,4,07:52.68
2018,第40回全日本軽量級選手権大会,男子シングルスカル,Final A,大元 英照,アイリスオーヤマ,1,07:35.32
2018,第40回全日本軽量級選手権大会,男子シングルスカル,Final A,武田 大作,ダイキ,2,07:44.88
2018,第40回全日本軽量級選手権大会,男子シングルスカル,Final A,安井 晴哉,トヨタ紡織B,3,07:49.17
2018,第40回全日本軽量級選手権大会,男子シングルスカル,Final A,東田 和季,瀬田漕艇クラブ,4,07:54.78
2018,第40回全日本軽量級選手権大会,女子シングルスカル,Final B,大西 花歩,龍谷大学A,1,08:36.59
2018,第40回全日本軽量級選手権大会,女子シングルスカル,Final B,野村 幸,トヨタ自動車B,2,08:38.82
2018,第40回全日本軽量級選手権大会,女子シングルスカル,Final B,柴田 知実,筑波大学,3,08:40.58
2018,第40回全日本軽量級選手権大会,女子シングルスカル,Final B,渡邊 花穂,中央大学,4,08:48.07
2018,第40回全日本軽量級選手権大会,女子シングルスカル,Final A,福本 温子,トヨタ自動車A,1,08:11.16
2018,第40回全日本軽量級選手権大会,女子シングルスカル,Final A,角谷 真緒,立教大学,2,08:14.08
2018,第40回全日本軽量級選手権大会,女子シングルスカル,Final A,大原 里奈,中部電力,3,08:18.48
2018,第40回全日本軽量級選手権大会,女子シングルスカル,Final A,四方 美咲,鹿屋体育大学A,4,08:20.82
2018,第40回全日本軽量級選手権大会,男子ダブルスカル,Final B,明治大学B,明治大学B,1,07:19.68
2018,第40回全日本軽量級選手権大会,男子ダブルスカル,Final B,立命館大学,立命館大学,2,07:23.37
2018,第40回全日本軽量級選手権大会,男子ダブルスカル,Final B,東京経済大学A,東京経済大学A,3,07:27.70
2018,第40回全日本軽量級選手権大会,男子ダブルスカル,Final B,鹿屋体育大学,鹿屋体育大学,4,07:42.97
2018,第40回全日本軽量級選手権大会,男子ダブルスカル,Final A,トヨタ紡織,トヨタ紡織,1,07:03.99
2018,第40回全日本軽量級選手権大会,男子ダブルスカル,Final A,今治造船,今治造船,2,07:11.02
2018,第40回全日本軽量級選手権大会,男子ダブルスカル,Final A,明治安田生命,明治安田生命,3,07:14.35
2018,第40回全日本軽量級選手権大会,男子ダブルスカル,Final A,富山国際大学,富山国際大学,4,07:14.98
2018,第40回全日本軽量級選手権大会,女子ダブルスカル,Final B,立命館大学B,立命館大学B,1,07:52.91
2018,第40回全日本軽量級選手権大会,女子ダブルスカル,Final B,中部電力,中部電力,2,07:54.65
2018,第40回全日本軽量級選手権大会,女子ダブルスカル,Final B,立命館大学A,立命館大学A,3,07:56.90
2018,第40回全日本軽量級選手権大会,女子ダブルスカル,Final B,明治大学A,明治大学A,4,08:02.00
2018,第40回全日本軽量級選手権大会,女子ダブルスカル,Final A,関西電力小浜,関西電力小浜,1,07:45.12
2018,第40回全日本軽量級選手権大会,女子ダブルスカル,Final A,富山国際大学A,富山国際大学A,2,07:48.74
2018,第40回全日本軽量級選手権大会,女子ダブルスカル,Final A,明治安田生命,明治安田生命,3,07:59.15
2018,第40回全日本軽量級選手権大会,女子ダブルスカル,Final A,陽進堂,陽進堂,4,08:11.82
2018,第40回全日本軽量級選手権大会,男子舵手なしペア,Final B,チョープロ,チョープロ,1,07:27.84
2018,第40回全日本軽量級選手権大会,男子舵手なしペア,Final B,東京大学A,東京大学A,2,07:31.93
2018,第40回全日本軽量級選手権大会,男子舵手なしペア,Final B,京都大学,京都大学,3,07:34.28
2018,第40回全日本軽量級選手権大会,男子舵手なしペア,Final B,東京経済大学B,東京経済大学B,4,07:37.60
2018,第40回全日本軽量級選手権大会,男子舵手なしペア,Final A,早稲田大学A,早稲田大学A,1,07:22.90
2018,第40回全日本軽量級選手権大会,男子舵手なしペア,Final A,東レ滋賀,東レ滋賀,2,07:23.72
2018,第40回全日本軽量級選手権大会,男子舵手なしペア,Final A,日本大学A,日本大学A,3,07:26.03
2018,第40回全日本軽量級選手権大会,男子舵手なしペア,Final A,瀬田漕艇クラブ,瀬田漕艇クラブ,4,07:29.70
2018,第40回全日本軽量級選手権大会,男子舵手なしフォア,Final B,仙台大学,仙台大学,1,06:49.00
2018,第40回全日本軽量級選手権大会,男子舵手なしフォア,Final B,早稲田大学,早稲田大学,2,06:49.59
2018,第40回全日本軽量級選手権大会,男子舵手なしフォア,Final B,日本体育大学,日本体育大学,3,06:54.84
2018,第40回全日本軽量級選手権大会,男子舵手なしフォア,Final B,龍谷大学,龍谷大学,4,06:59.81
2018,第40回全日本軽量級選手権大会,男子舵手なしフォア,Final A,東レ滋賀,東レ滋賀,1,06:29.25
2018,第40回全日本軽量級選手権大会,男子舵手なしフォア,Final A,NTT東日本,NTT東日本,2,06:34.59
2018,第40回全日本軽量級選手権大会,男子舵手なしフォア,Final A,日本大学A,日本大学A,3,06:35.13
2018,第40回全日本軽量級選手権大会,男子舵手なしフォア,Final A,中部電力,中部電力,4,06:35.65
2018,第40回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,東京外国語大学,東京外国語大学,1,06:40.00
2018,第40回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,日本体育大学,日本体育大学,2,06:41.55
2018,第40回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,仙台大学B,仙台大学B,3,06:42.99
2018,第40回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,岐阜経済大学,岐阜経済大学,4,06:44.91
2018,第40回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,龍谷大学,龍谷大学,1,06:41.33
2018,第40回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,トヨタ自動車,トヨタ自動車,2,06:45.21
2018,第40回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,富山国際大学,富山国際大学,3,06:50.00
2018,第40回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final A,警視庁,警視庁,4,06:57.94
2018,第40回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final B,東京経済大学,東京経済大学,1,07:41.38
2018,第40回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final B,立教大学,立教大学,2,07:55.82
2018,第40回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final A,仙台大学,仙台大学,1,07:13.20
2018,第40回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final A,日本体育大学,日本体育大学,2,07:21.63
2018,第40回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final A,東京外国語大学,東京外国語大学,3,07:22.69
2018,第40回全日本軽量級選手権大会,女子舵手なしクオドルプル,Final A,富山国際大学,富山国際大学,4,07:23.35
2018,第40回全日本軽量級選手権大会,男子エイト,Final B,一橋大学A,一橋大学A,1,06:28.12
2018,第40回全日本軽量級選手権大会,男子エイト,Final B,仙台大学B,仙台大学B,2,06:31.40
2018,第40回全日本軽量級選手権大会,男子エイト,Final B,東北大学A,東北大学A,3,06:32.82
2018,第40回全日本軽量級選手権大会,男子エイト,Final B,東京工業大学,東京工業大学,4,06:33.84
2018,第40回全日本軽量級選手権大会,男子エイト,Final A,仙台大学A,仙台大学A,1,06:05.34
2018,第40回全日本軽量級選手権大会,男子エイト,Final A,明治大学,明治大学,2,06:06.11
2018,第40回全日本軽量級選手権大会,男子エイト,Final A,法政大学,法政大学,3,06:11.54
2018,第40回全日本軽量級選手権大会,男子エイト,Final A,慶應義塾大学A,慶應義塾大学A,4,06:18.99
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手付きフォア,Final B,同志社大学,同志社大学,1,06:33.63
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手付きフォア,Final B,大阪市立大学,大阪市立大学,2,06:35.93
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手付きフォア,Final B,東京大学,東京大学,3,06:37.88
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手付きフォア,Final B,大阪工業大学,大阪工業大学,4,06:44.82
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手付きフォア,Final A,日本大学,日本大学,1,06:44.87
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手付きフォア,Final A,日本体育大学,日本体育大学,2,06:46.30
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手付きフォア,Final A,仙台大学,仙台大学,3,06:47.14
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手付きフォア,Final A,一橋大学,一橋大学,4,07:06.45
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子舵手付きフォア,Final B,立教大学,立教大学,1,07:29.90
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子舵手付きフォア,Final B,一橋大学,一橋大学,2,07:31.81
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子舵手付きフォア,Final B,明治大学,明治大学,3,07:32.84
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子舵手付きフォア,Final B,神戸大学,神戸大学,4,07:37.21
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子舵手付きフォア,Final A,立命館大学,立命館大学,1,07:35.57
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子舵手付きフォア,Final A,富山国際大学,富山国際大学,2,07:41.59
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子舵手付きフォア,Final A,日本体育大学,日本体育大学,3,07:46.19
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子舵手付きフォア,Final A,早稲田大学,早稲田大学,4,07:58.69
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子ダブルスカル,Final B,東京海洋大学,東京海洋大学,1,06:44.29
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子ダブルスカル,Final B,仙台大学,仙台大学,2,06:45.96
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子ダブルスカル,Final B,日本大学,日本大学,3,06:48.66
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子ダブルスカル,Final B,九州大学,九州大学,4,06:56.24
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子ダブルスカル,Final A,日本体育大学,日本体育大学,1,06:58.83
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子ダブルスカル,Final A,富山国際大学,富山国際大学,2,07:02.66
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子ダブルスカル,Final A,法政大学,法政大学,3,07:12.83
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子ダブルスカル,Final A,立命館大学,立命館大学,4,07:17.05
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子ダブルスカル,Final B,熊本大学,熊本大学,1,07:26.81
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子ダブルスカル,Final B,筑波大学,筑波大学,2,07:28.32
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子ダブルスカル,Final B,早稲田大学,早稲田大学,3,07:33.02
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子ダブルスカル,Final B,中央大学,中央大学,4,07:39.76
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子ダブルスカル,Final A,明治大学,明治大学,1,07:43.60
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子ダブルスカル,Final A,富山国際大学,富山国際大学,2,07:47.09
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子ダブルスカル,Final A,立教大学,立教大学,3,07:53.34
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,女子ダブルスカル,Final A,日本体育大学,日本体育大学,4,08:01.25
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手なしペア,Final B,富山国際大学,富山国際大学,1,07:05.31
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手なしペア,Final B,岐阜経済大学,岐阜経済大学,2,07:08.30
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手なしペア,Final B,東京大学,東京大学,3,07:12.19
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手なしペア,Final B,中央大学,中央大学,4,07:14.36
2018,第45回全日本大学選手権大会／第58回オックスフォード盾レガッタ,男子舵手なしペア,Final A,一橋大学,一橋大学,1,07:04.62
