year,competition_name,event_name,final_group,crew_name,organization,rank,time
2009,Japan Cup 第31回全日本軽量級選手権大会,男子ダブルスカル,Final B,Hong Kong China Rowing AssociaA,Hong Kong China Rowing AssociaA,1,07:07.43
2009,Japan Cup 第31回全日本軽量級選手権大会,男子ダブルスカル,Final B,明治大学,明治大学,2,07:09.60
2009,Japan Cup 第31回全日本軽量級選手権大会,男子ダブルスカル,Final B,早稲田大学,早稲田大学,3,07:12.71
2009,Japan Cup 第31回全日本軽量級選手権大会,男子ダブルスカル,Final B,立教大学,立教大学,4,07:14.47
2009,Japan Cup 第31回全日本軽量級選手権大会,男子ダブルスカル,Final A,日本大学B,日本大学B,1,06:51.50
2009,Japan Cup 第31回全日本軽量級選手権大会,男子ダブルスカル,Final A,日本大学A,日本大学A,2,07:02.91
2009,Japan Cup 第31回全日本軽量級選手権大会,男子ダブルスカル,Final A,明治安田生命,明治安田生命,3,07:08.65
2009,Japan Cup 第31回全日本軽量級選手権大会,男子ダブルスカル,Final A,住友金属鹿島,住友金属鹿島,4,07:15.30
2009,Japan Cup 第31回全日本軽量級選手権大会,女子ダブルスカル,Final B,立教大学,立教大学,1,07:48.20
2009,Japan Cup 第31回全日本軽量級選手権大会,女子ダブルスカル,Final B,中部電力,中部電力,2,07:57.55
2009,Japan Cup 第31回全日本軽量級選手権大会,女子ダブルスカル,Final B,明治大学,明治大学,3,08:04.84
2009,Japan Cup 第31回全日本軽量級選手権大会,女子ダブルスカル,Final B,龍谷大学,龍谷大学,4,08:15.45
2009,Japan Cup 第31回全日本軽量級選手権大会,女子ダブルスカル,Final A,慶應義塾大学,慶應義塾大学,1,07:39.96
2009,Japan Cup 第31回全日本軽量級選手権大会,女子ダブルスカル,Final A,Hong Kong China Rowing AssociaA,Hong Kong China Rowing AssociaA,2,07:45.72
2009,Japan Cup 第31回全日本軽量級選手権大会,女子ダブルスカル,Final A,東京経済大学,東京経済大学,3,07:46.15
2009,Japan Cup 第31回全日本軽量級選手権大会,女子ダブルスカル,Final A,Hong Kong China Rowing AssociaB,Hong Kong China Rowing AssociaB,4,07:51.83
2009,Japan Cup 第31回全日本軽量級選手権大会,男子舵手なしペア,Final B,中央大学,中央大学,1,07:17.10
2009,Japan Cup 第31回全日本軽量級選手権大会,男子舵手なしペア,Final B,東北大学A,東北大学A,2,07:19.33
