year,competition_name,event_name,final_group,crew_name,organization,rank,time
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子シングルスカル,Final B,繁田 涼,関西電力美浜B,1,07:55.64
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子シングルスカル,Final B,陶山 修,明治安田生命,2,07:56.10
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子シングルスカル,Final B,山口 健太,日本大学A,3,08:00.43
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子シングルスカル,Final B,槻木 裕太,東レ滋賀,4,08:03.48
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子シングルスカル,Final A,田立 健太,戸田中央総合病院RCA,1,07:54.90
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子シングルスカル,Final A,武田 大作,ダイキ,2,08:01.99
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子シングルスカル,Final A,今井 祐樹,中部電力A,3,08:11.44
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子シングルスカル,Final A,山本 宏明,中部電力B,4,08:18.05
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子シングルスカル,Final B,宇佐美 亜季,明治安田生命A,1,08:56.41
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子シングルスカル,Final B,青山 恭子,関西アーバン銀行,2,09:08.52
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子シングルスカル,Final B,三好 瑞季,慶應義塾大学,3,09:20.46
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子シングルスカル,Final B,宮田 知佳,大垣共立銀行A,4,09:32.80
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子シングルスカル,Final A,Lee Ka Man,Hong Kong China Rowing Associ,1,08:46.62
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子シングルスカル,Final A,冨田 千愛,明治大学A,2,08:51.35
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子シングルスカル,Final A,首藤 多佳子,明治安田生命B,3,08:51.62
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子シングルスカル,Final A,川本 藍,日本体育大学B,4,08:52.05
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子ダブルスカル,Final B,日本体育大学A,日本体育大学A,1,07:41.08
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子ダブルスカル,Final B,明治大学,明治大学,2,07:45.40
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子ダブルスカル,Final B,日本体育大学C,日本体育大学C,3,07:46.86
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子ダブルスカル,Final B,岐阜経済大学B,岐阜経済大学B,4,07:48.12
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子ダブルスカル,Final A,Hong Kong China Rowing Associa,Hong Kong China Rowing Associa,1,07:03.88
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子ダブルスカル,Final A,日本大学A,日本大学A,2,07:07.28
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子ダブルスカル,Final A,日本大学B,日本大学B,3,07:12.05
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子ダブルスカル,Final A,筑波大学,筑波大学,4,07:20.21
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子ダブルスカル,Final B,東北大学A,東北大学A,1,08:12.45
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子ダブルスカル,Final B,一橋大学A,一橋大学A,2,08:16.91
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子ダブルスカル,Final B,明治大学A,明治大学A,3,08:20.46
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子ダブルスカル,Final B,東京経済大学B,東京経済大学B,4,08:28.84
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子ダブルスカル,Final A,大垣共立銀行,大垣共立銀行,1,08:08.39
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子ダブルスカル,Final A,立命館大学,立命館大学,2,08:12.22
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子ダブルスカル,Final A,早稲田大学,早稲田大学,3,08:14.40
2013,JAPAN CUP 第35回全日本軽量級選手権大会,女子ダブルスカル,Final A,法政大学,法政大学,4,08:20.36
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしペア,Final B,日本大学B,日本大学B,1,07:22.32
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしペア,Final B,明治大学,明治大学,2,07:22.88
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしペア,Final B,京都大学D,京都大学D,3,07:24.96
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしペア,Final B,東海大学,東海大学,4,07:36.95
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしペア,Final A,アイリスオーヤマ,アイリスオーヤマ,1,07:07.82
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしペア,Final A,日本大学A,日本大学A,2,07:30.76
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしペア,Final A,トヨタ紡織,トヨタ紡織,3,07:34.48
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしペア,Final A,法政大学,法政大学,4,07:44.76
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしフォア,Final B,中央大学,中央大学,1,06:51.79
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしフォア,Final B,東京経済大学A,東京経済大学A,2,06:53.76
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしフォア,Final B,東海大学,東海大学,3,07:00.40
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしフォア,Final B,一橋大学A,一橋大学A,4,07:01.42
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしフォア,Final A,日本大学A,日本大学A,1,06:37.71
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしフォア,Final A,戸田中央総合病院RC,戸田中央総合病院RC,2,06:46.37
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしフォア,Final A,東レ滋賀,東レ滋賀,3,06:46.98
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしフォア,Final A,日本大学B,日本大学B,4,06:47.86
2013,JAPAN CUP 第35回全日本軽量級選手権大会,男子舵手なしクオドルプル,Final B,龍谷大学,龍谷大学,1,06:38.13
