year,competition_name,event_name,final_group,crew_name,organization,rank,time
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ダブルスカル,Final A,アイリスオーヤマ,アイリスオーヤマ,1,07:16.64
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ダブルスカル,Final A,金沢大学,金沢大学,2,07:22.20
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ダブルスカル,Final A,成立学園高校,成立学園高校,3,07:26.75
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ダブルスカル,Final A,早稲田大学,早稲田大学,4,07:29.66
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ダブルスカル,Final A,明治安田生命,明治安田生命,5,07:30.55
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ダブルスカル,Final A,日本体育大学,日本体育大学,6,07:32.12
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final B,仙台大学,仙台大学,1,07:07.39
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final B,日本製鉄,日本製鉄,2,07:09.70
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final B,大阪府立大学,大阪府立大学,3,07:11.74
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final B,東京経済大学,東京経済大学,4,07:12.87
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final B,法政大学,法政大学,5,07:12.94
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final B,ひた市,ひた市,6,07:21.89
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final A,トヨタ紡織,トヨタ紡織,1,06:55.53
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final A,富山国際大学,富山国際大学,2,07:03.14
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final A,東北大学,東北大学,3,07:03.75
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final A,日本大学,日本大学,4,07:06.48
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final A,大阪大学,大阪大学,5,07:12.55
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子ペア,Final A,明治大学,明治大学,6,07:16.00
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final B,関西学院大学,関西学院大学,1,08:05.02
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final B,明治大学,明治大学,2,08:07.09
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final B,中央大学,中央大学,3,08:10.39
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final B,一橋大学,一橋大学,4,08:12.54
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final B,仙台大学,仙台大学,5,08:13.71
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final B,龍谷大学,龍谷大学,6,08:18.71
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final A,立命館大学,立命館大学,1,07:53.72
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final A,日本体育大学,日本体育大学,2,07:55.02
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final A,滋賀大学,滋賀大学,3,07:55.94
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final A,立教大学,立教大学,4,07:57.27
